# ID SN_Type SN_RA SN_Dec Redshift Kind_z Host_Name Host_RA Host_Dec vflag rmag AbsMag
153 Candidate 48.893766666666664 -15.884613888888888 0.11566 host "NGC 1262" -999.0 -999.0 9 -999.0 -999.0
154 Candidate 25.195899999999995 -0.2179 0.05833 host "SDSS J014047.45-001305.8" 25.197708333333328 -0.2182777777777778 9 16.9403 -19.273263396789716
155 IIn 143.80533333333332 50.472750000000005 0.066751 -999 -999 -999.0 -999.0 1 -999.0 -999.0
156 Candidate 151.00637499999996 -6.4738444444444445 0.0124 host "NGC 3110" -999.0 -999.0 9 -999.0 -999.0
157 Candidate 30.934624999999993 19.691861111111113 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
158 Candidate 169.89159999999998 25.729599999999998 0.09149 host "SDSS J111933.80+254348.5" 169.89083333333332 25.730138888888888 1 17.66146 -19.52951165261364
159 Candidate 219.58139999999997 1.234288888888889 0.12278 host "SDSS J143819.76+011400.7" 219.5823333333333 1.2335277777777778 9 18.02887 -19.800871659861027
160 Candidate 229.94821666666664 -2.151261111111111 0.0369243 host "SDSS J151947.95-020912.6" 229.94979166666664 -2.1534999999999997 2 19.96927 -15.251394868815638
161 Candidate 196.02854166666663 19.21214722222222 0.066341 host "IC 4141" -999.0 -999.0 0 -999.0 -999.0
162 Candidate 151.11956249999997 72.568175 0.0481 host "2MASX J10042625+7233589" 151.10937499999997 72.5663611111111 9 -999.0 -999.0
163 Candidate 236.94009999999997 28.6437 0.033224 host "NGC 6001" -999.0 -999.0 0 -999.0 -999.0
164 Candidate 178.34169999999997 -0.3137 0.134287 host "2MASX J11532200-0018507" 178.34166666666664 -0.3140833333333333 9 17.36118 -20.663093373160603
165 Candidate 14.263291666666666 -37.03988888888889 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
166 Candidate 349.1049583333333 24.49661111111111 0.028006 -999 "NGC 7568" -999.0 -999.0 9 -999.0 -999.0
167 Candidate 32.87537499999999 -35.83213611111111 0.020748 -999 "NGC 854" -999.0 -999.0 9 -999.0 -999.0
168 Candidate 11.18120833333333 41.89447222222222 0.000175 host M31 -999.0 -999.0 9 -999.0 -999.0
169 Candidate 264.69420833333334 59.37288888888889 0.031041 -999 "IC 1267" -999.0 -999.0 9 -999.0 -999.0
170 Candidate 217.3348333333333 -5.019083333333334 -999.0 -999 "PGC 51765, MCG -01-37-07, MCG -01-37-007" -999.0 -999.0 -999 -999.0 -999.0
171 Candidate 279.8287083333333 38.93586111111111 -999.0 -999 "PGC 62205, UGC 11313" -999.0 -999.0 -999 -999.0 -999.0
172 Candidate 128.42104166666667 41.41905555555555 -999.0 -999 "PGC 24017" -999.0 -999.0 -999 -999.0 -999.0
173 Candidate 115.48808333333332 17.114822222222223 -999.0 -999 "SDSS J074157.12+170654.1" 115.48799999999999 17.11502777777778 -999 20.03454 nan
174 Candidate 164.59629166666664 55.61911111111111 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
175 Candidate 85.37491666666666 29.412138888888887 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
176 Candidate 202.3955833333333 -30.54502777777778 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
177 Candidate 87.13008333333333 -20.797694444444446 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
178 Candidate 114.81416666666665 16.80527222222222 -999.0 -999 "SDSS J073914.58+164823.8" 114.81075 16.806611111111113 -999 22.74119 nan
179 Candidate 169.0272083333333 3.650444444444444 -999.0 -999 "SDSS J111606.46+033857.3" 169.02691666666666 3.64925 -999 18.674 nan
180 Candidate 181.78041666666667 53.668416666666666 0.0589 host "MCG +09-20-097, MCG +09-20-97" -999.0 -999.0 0 -999.0 -999.0
181 Candidate 173.54374999999996 55.57791666666667 -999.0 -999 "SDSS J113409.59+553437.0, MAPS-NGP O_130_0102241" 173.53995833333332 55.57694444444445 -999 18.60538 nan
