# ID claimedtype dec host hostdec hostra ra redshift redshift_kind
424 Candidate 1.491363888888889 "" "" "" 166.90341666666666 "" ""
425 Candidate -7.293152777777777 "" "" "" 43.70199999999999 "" ""
426 Candidate 2.5287055555555553 "SDSS J133829.08+023142.0" 2.5283333333333333 204.62116666666665 204.62057083333332 0.017996 host
427 Candidate 58.96780277777778 "2MASX J09460071+5858042" 58.96783333333334 146.50295833333334 146.50661666666667 "" ""
428 Candidate -9.0935 "SDSS J022432.65-090549.1" -9.096972222222222 36.136041666666664 36.13279999999999 0.052 host
429 Candidate 1.0748 "2MASX J10213013+0104242" 1.073388888888889 155.37554166666663 155.37579999999997 0.10975 host
430 Candidate 2.8888861111111113 "SDSS J101928.41+025319.8" 2.8888333333333334 154.868375 154.8702708333333 0.161 host
431 Candidate -10.367736111111112 "IC 1451" "" "" 341.53021249999995 "" ""
432 Candidate 1.512825 "SDSS J151432.68+013045.2" 1.5125555555555557 228.63616666666664 228.63718749999995 "" ""
433 Candidate 39.05996388888889 "2MASX J16470079+3903403" 39.06119444444444 251.75329166666666 251.75077916666666 0.02922 host
434 Candidate 4.594161111111111 "2MASX J10231308+0435387" 4.594083333333333 155.80449999999996 155.80539999999996 0.06424 host
435 "" -0.9828 "" "" "" 215.97519999999997 "" ""
436 Candidate -1.8834305555555555 GAMAJ114428.45-015300.3 "" "" 176.11857916666665 0.07717 host
437 Candidate 11.077036111111111 "SDSS J104136.33+110429.4" 11.074833333333332 160.40137499999997 160.4013083333333 0.0528237 host
438 Candidate 39.39698888888889 "2MFGC 7551" "" "" 146.01832499999995 "" ""
439 Candidate 52.415016666666666 "UGC 7661" "" "" 187.7847375 "" ""
440 Candidate -0.9735 "SDSS J113117.55-005828.8" -0.9746666666666667 172.823125 172.8228 0.0639 host
441 Candidate 10.016930555555556 "SDSS J120559.29+100058.5" 10.01625 181.49704166666666 181.49647916666666 0.092 host
442 Candidate 40.602019444444444 "IC 3993" "" "" 194.8788458333333 0.065652 host
443 Candidate 33.25071111111111 "SDSS J154240.42+331504.4" 33.251222222222225 235.66841666666664 235.66891249999995 "" ""
444 Candidate 65.77030555555555 "2MASX J06471436+6546183" 65.77175 101.80983333333333 101.80921666666664 "" ""
445 Candidate 27.625008333333334 "2MFGC 7092" "" "" 136.6010583333333 "" ""
446 Candidate 33.68818611111111 "2MASX J12395851+3341254" 33.69038888888888 189.99379166666665 189.99202916666664 "" ""
447 Candidate -64.95877777777778 "NGC 1892" "" "" 79.29804166666666 0.00353 host
448 Candidate -0.7468083333333333 "" "" "" 282.78343333333333 "" ""
449 Candidate 14.724530555555555 "IC 1780" "" "" 31.712587499999998 "" ""
450 Candidate 24.257172222222223 "UGC 6207" "" "" 167.47611666666666 "" ""
451 Candidate 51.05428055555555 "" "" "" 244.10285416666662 "" ""
452 Candidate 14.082108333333332 "2MASX J16064672+1404531" 14.081416666666666 241.69466666666665 241.69559166666667 0.101295 host
453 Candidate 9.828030555555555 "LEDA 214471" "" "" 243.29382499999994 0.01631 host
454 Candidate 16.011622222222222 "IC 0848, IC 848" "" "" 196.75809166666664 0.053 host
455 Candidate 11.60656111111111 "2MASX J23355619+1136259" 11.607194444444444 353.98412499999995 353.9830124999999 "" ""
456 Candidate 9.956680555555554 "SDSS J131500.97+095723.2" 9.956444444444443 198.75404166666667 198.75304999999997 0.099 host
457 Candidate 1.7333472222222224 "2MASX J01385097+0144007" 1.7335277777777778 24.712374999999994 24.710774999999995 "" ""
